id;student_service;cafeteria;source_file;date;prod_type;production_location;actual_output;product_name;menu_text;group_level_2;anteil;code_main_protein;proteincode
4629;Chemnitz-Zwickau;Chemnitz Küche RH55;Chemnitz-Zwickau/LINSE_Chemnitz-Küche-RH55.xlsx;2019-10-07;essen iv/tagesangebot(ct);Lager Küche Reichenhainer;71,00;seelachs im kartoffelmantel;"seelachsfilet ""crunchy potato"" (im knusprigen kartoffelmantel) (81)mit sauerrahm-kraeuter-dip (19)dazu bratreisund friseesalat";fisch;dominant;fisch;high
4629;Chemnitz-Zwickau;Chemnitz Küche RH55;Chemnitz-Zwickau/LINSE_Chemnitz-Küche-RH55.xlsx;2019-10-07;essen iv/tagesangebot(ct);Lager Küche Reichenhainer;71,00;seelachs im kartoffelmantel;"seelachsfilet ""crunchy potato"" (im knusprigen kartoffelmantel) (81)mit sauerrahm-kraeuter-dip (19)dazu bratreisund friseesalat";knollen;mittel;fisch;unbekannt
4629;Chemnitz-Zwickau;Chemnitz Küche RH55;Chemnitz-Zwickau/LINSE_Chemnitz-Küche-RH55.xlsx;2019-10-07;essen iv/tagesangebot(ct);Lager Küche Reichenhainer;71,00;seelachs im kartoffelmantel;"seelachsfilet ""crunchy potato"" (im knusprigen kartoffelmantel) (81)mit sauerrahm-kraeuter-dip (19)dazu bratreisund friseesalat";milchprodukte;mittel;fisch;very_high
4629;Chemnitz-Zwickau;Chemnitz Küche RH55;Chemnitz-Zwickau/LINSE_Chemnitz-Küche-RH55.xlsx;2019-10-07;essen iv/tagesangebot(ct);Lager Küche Reichenhainer;71,00;seelachs im kartoffelmantel;"seelachsfilet ""crunchy potato"" (im knusprigen kartoffelmantel) (81)mit sauerrahm-kraeuter-dip (19)dazu bratreisund friseesalat";getreide;gering;fisch;low
11159;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-06-19;essen ii/iii/iv(topsell);Lager Küche Ring;194,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch;dominant;rotes_fleisch;high
11159;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-06-19;essen ii/iii/iv(topsell);Lager Küche Ring;194,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;gemuese;dominant;rotes_fleisch;very_low
11159;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-06-19;essen ii/iii/iv(topsell);Lager Küche Ring;194,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;knollen;mittel;rotes_fleisch;unbekannt
11254;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-08-21;essen ii/iii/iv(topsell);Lager Küche Ring;101,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch;dominant;rotes_fleisch;high
11254;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-08-21;essen ii/iii/iv(topsell);Lager Küche Ring;101,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;gemuese;dominant;rotes_fleisch;very_low
11254;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-08-21;essen ii/iii/iv(topsell);Lager Küche Ring;101,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;knollen;mittel;rotes_fleisch;unbekannt
11363;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-10-23;essen ii/iii/iv(topsell);Lager Küche Ring;269,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch;dominant;rotes_fleisch;high
11363;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-10-23;essen ii/iii/iv(topsell);Lager Küche Ring;269,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;gemuese;dominant;rotes_fleisch;very_low
11363;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-10-23;essen ii/iii/iv(topsell);Lager Küche Ring;269,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;knollen;mittel;rotes_fleisch;unbekannt
11465;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-12-11;essen ii/iii/iv(topsell);Lager Küche Ring;295,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch;dominant;rotes_fleisch;high
11465;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-12-11;essen ii/iii/iv(topsell);Lager Küche Ring;295,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;gemuese;dominant;rotes_fleisch;very_low
11465;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2015-12-11;essen ii/iii/iv(topsell);Lager Küche Ring;295,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;knollen;mittel;rotes_fleisch;unbekannt
11570;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2016-02-12;essen ii/iii/iv(topsell);Lager Küche Ring;122,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;rotes_fleisch;dominant;rotes_fleisch;high
11570;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2016-02-12;essen ii/iii/iv(topsell);Lager Küche Ring;122,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;gemuese;dominant;rotes_fleisch;very_low
11570;Chemnitz-Zwickau;Zwickau Küche Ring;Chemnitz-Zwickau/LINSE_Zwickau-Küche-Ring.xlsx;2016-02-12;essen ii/iii/iv(topsell);Lager Küche Ring;122,00;szegediner gulasch;szegediner gulasch (13 19 51)dazu boehmische knoedel (13 15 19)karottensalat;knollen;mittel;rotes_fleisch;unbekannt
